comment_id,author,text,published_at,like_count
UgwwidTT0VKBtbBBqm14AaABAg,@masdi1792,"sumpah seorang presiden masih tdk bs memilih memilah kata, masih pake bahasa ( persiden goblog ), fix indonesia harus kwatir dan kalo bisa usul ganti saja presiden dana wakil nya ga mutu, pertanyaan nasum nya daging semua, di jawab pake tulang ga bobot",2025-04-30T07:31:48Z,1
UgxK5Q1RW3Ov9qa8Vnp4AaABAg,@mustaqimchandra2877,"Pertanyaanya td apa ya, kok sy tdk nyambung,",2025-04-30T06:58:58Z,0
UgypV4Gpoe9ZHGikY4h4AaABAg,@segera4449,"Pa prabowo presiden RI , tuntutan para purnawirawan TNI , 8 jumlahnya , tuntutan no. 1 yaitu untuk kembali ke uud , 45 , saya tidak setuju , saya menolak , sebab jika uud , kembali ke uud , 45 , maka 4 point amandemen uud , 45 , yaitu th 1999 , th ,2000, th , 2001 , dan th 2002 akan dihapus , itu yang sangat saya  tidak setuju . Selanjutnya , tuntutan lainnya yaitu yang , ke 2  sampai yang ke 8  , itu saya tak  ikut  komentar , artinya diserahkan kepada pa presiden  ,  itu urusan pa pa presiden  untuk mempertimbangkannya , terimakasih 
.",2025-04-30T06:11:41Z,0
Ugybk4KVdg48pZHlLrp4AaABAg,@darkangel1336,😂,2025-04-30T05:22:35Z,0
Ugxz9BG4aeiCjgTDytl4AaABAg,@yeniliasusanti,"Liat pak tua umur 73 tahun di telanjangi pola fikirnya,dan di paksa mengerti keadaan zaman yang terus bergerak pesat.Jawaban dari setiap pertanyaan kosong semua nyaris tanpa nilai.Jadi dia bukan orang jahat,tapi inkompeten.Ibarat supir traktor berusaha nerbangin pesawat Boeing.",2025-04-30T04:58:35Z,2
UgxokyibduTxCBLoivR4AaABAg,@nadaminayah7957,“super semar” got me dying,2025-04-30T03:39:28Z,1
UgzsxLTn-fUzUd_VnuZ4AaABAg,@BanuLipurwanto,"Ini baru pemimpin yg mencatat sejarah dunia yg sangat bijak mau mengakui kepemimpinan terdahulunya dan menghormati sekaligus mau melanjutkan program² yg super istimewa, Ayo pak Prabowo kami² sangat mendukungmu sehat slalu Bapak semoga TUHAN slalu melindungimu...Amin❤️❤️❤️",2025-04-30T02:20:50Z,0
UgyeJmtZ1ze_z80hSRB4AaABAg,@AbdiAbdi-x3w,"hee mereka kan orang pendidikan pak prebowo itu sia pa itukan kepala negara logikanya yah sedikit  sopan santun sedangkan  pak prabowo itu
lihat umr dan kalian umur muda  sopan dikit lah
ada katasebutan kamu dan aku kita adasebutan 
bappal danibu 
hargailah 
yg tua  maupun yg muda
 itulah sopan santun memangnya kepala negara ini adik kamu 
 bukakanya",2025-04-29T21:59:15Z,1
UgyZohz-5jCOrbGPAhN4AaABAg,@bepeatb.,UU TNI buat para jenderal tapi UU perampasan aset utk negeri ini...,2025-04-29T19:26:05Z,0
UgyL7T06oo93ue0pHPd4AaABAg,@Victormzmeia,3 jam 26 menit isinya OMON-OMON doang anyinggg,2025-04-29T18:30:44Z,1
UgyU6BVa6jTuZvI31Ud4AaABAg,@AZ10056,jawabannya ga ada yg nyambung,2025-04-29T18:19:06Z,0
UgzwjZNlRsGOgPT1GsV4AaABAg,@JenikeyTimu-i7p,"Ini kita bicara Blak blakan Ya Mohon Maaf Pa, Apa lagi di Bangka Belitung ini Negara tetangga dekat Pa, jadi Bangka Belitung ini banyak Mafia paling gila selundup  PanPerempuan saja berani Pa🇲🇨🇲🇨❤️❤️❤️👏👏👏",2025-04-29T17:02:40Z,0
Ugxifus4f0KbDJpLBK54AaABAg,@JenikeyTimu-i7p,"Dan TNI juga Pa dr tingkat Propinsi, Kabupaten, Kecamatan ingkar TNi bisa di beli juga sama Korea Korea Pa, jadi Masyarakat Sengsara Pa dan jadi Korban🇲🇨🇲🇨❤️❤️❤️👏👏👏",2025-04-29T16:57:35Z,0
Ugyi4qGhPBnl_m8JdJd4AaABAg,@JenikeyTimu-i7p,"Yang Punya duit Banyak itulah yg berkuasa, Gubernur, Walikota dan Bupati,dr Keamanan dlm Negeri Kapolda Kapolres dan Kapolsek bisa di beli🇲🇨🇲🇨❤️❤️❤️👏👏👏",2025-04-29T16:53:30Z,0
UgzYJ3rEdjiybRkJjsF4AaABAg,@JenikeyTimu-i7p,"Jadi Gubernur tipu Menteri dan Menteri Pulang tipu Presiden jadi sama sama tipu Pa, Apa lagi Bangka Belitung ini Gila suap sogok🇲🇨🇲🇨❤️❤️❤️👏👏👏",2025-04-29T16:50:30Z,0
Ugwlfy1DxroAV1ET0bl4AaABAg,@JenikeyTimu-i7p,"Krn Mentri DTG ke daerah bukan temui Masyarakat di lapangan tapi temui Gubernur DTG di Hotel berbintang, jadi Gubernur tipu Menteri, dan Menteri Pulang tipu Presiden ini Fakta Pa 🇲🇨🇲🇨❤️❤️❤️👏👏👏",2025-04-29T16:47:09Z,0
Ugw9NfzrMJvCXbiaw014AaABAg,@JenikeyTimu-i7p,"Ini Mohon maaf Pa bukan ngadu tapi cuma kasih tau Pa, Jgn seperti sebelum sebelumnya Pa, Krn Para Mentri DTG kedaerah bukan temui Masyarakat tapi DTG Ke Gubernur di terimah di Hotel berbintang, 🇲🇨🇲🇨❤️❤️❤️👏👏👏",2025-04-29T16:42:44Z,0
Ugybx5kDBt_sZtZcIcN4AaABAg,@mohammadalfian1796,Asw.kami.rakyat.biassa.pokoknya.prapasan.akset.segera.di.sahkan.karna.sebelum.jadi.preseden.bapak.prabowo.sudah.janji.sama.rakyat.ini.yg.rakyat.tagih,2025-04-29T15:57:56Z,0
UgxTLr7c0WSNlaEWNnd4AaABAg,@mahdhalenha7712,Herannn sama yang komen hujatt... Mereka nonton ngga ndengerin ... Ndengerin pula hatinya udh ketutup... Udh diselimuti sengit sebel dan benci ya begitu... Ngehujaaaaad mulu isinya... Komen2 nya ga bijak ujung2nya😂😂😂,2025-04-29T14:45:18Z,0
UgyrXlb0MR9UuMF0LqR4AaABAg,@cutie.caratt,"keren yang di sana dengerinnya, kita disini udah istighfar mulu😢",2025-04-29T14:35:03Z,0
UgyYY6uDuBeo-8EcI694AaABAg,@mahdhalenha7712,Menit ke 2jam lebih 40menit... Kami berharap bapak presiden.. Doa kami.. Bapak diberikan sehat sellalu dan dijauhkan dari orang2 dzolim yang berbuat jahat pada bapak.. Kami bangga dan bersyukur adanya bapak menjadi presiden.. Pelan2 insya Alloh yang kemarin ter phk kembali mendapatkan kerja dengan lapangan kerja yang terbuka ke depan,2025-04-29T14:25:27Z,0
UgzUOBhb_ZDOmeUJjf14AaABAg,@mahdhalenha7712,Semoga next ada lagi yah mba nana❤❤❤ suka banget ndengerin interaksi pak presiden dengan para reporter2 ternama diindonesia.. Semua pembahasan bener2 daging..,2025-04-29T14:15:11Z,2
UgySk_-Y-T0wkCg137h4AaABAg,@JohanPurba-r7d,"Pak prabowo seandainya masyarakat bisa berkomunikasi dengan bapak. Hati bapak pasti menangis melihat masyarakat yg masih banyak susah sekali di pelosok pelosok. Sementara yang korupsi di indonesia tidak mau kalau satu juta, kalau melihat dari berita, mensos  masyarakat melihat yg korup ratusan juta milyaran, sementara masyarakat dipedesaan bamyak yg terlantarkan . Tlg ya pak segala aparatur negara supaya bapak pesan bersatu membasmi segala kejahatan.",2025-04-29T13:17:29Z,1
UgzbFuqcs0vMgOaByuJ4AaABAg,@JohanPurba-r7d,"Semoga pak prabowo sehat selalu, dalam lindungan Tuhan diberi kebijak samaan. Pak kami atas nama masyarakat memohon, tentang obat obatan terlarang di Indonesia supaya bapak perhatikan keamanan yang segera dibasmi dan dicari dari mana asal usul nya masyarakat menilai pihak kepolisian sepertinya, kurang serius untuk menangani kasus tersebut. Jadi tlg pak sekiranya, kalau pihak kepolisian inggak mampu, ikut sertakan aja TNI supaya cepat tuntas. Kasian pak generasi muda mudi kita. Terimakasih pak atas kebijakan bapak nantinya, kami tunggu. ❤❤❤❤❤❤❤",2025-04-29T12:46:48Z,0
UgyTedYvkCSh8aww52Z4AaABAg,@titiwahyu_98,Oke  jelas,2025-04-29T12:38:47Z,0
UgxNRoxykKEZrq8N4LR4AaABAg,@ramagarbadin3158,Mau pemimpin yang seperti apa sih. Gak ada manusia sempurna yg jadi pemimpin kecuali Nabi Muhammad dan Imam Mahdi.,2025-04-29T08:06:09Z,0
Ugw_Sf1i03TCAYvYUwV4AaABAg,@abdulmuhit7777,"respect, doa terbaik untuk beliau dan teman2 seperjuangannya, mudah-mudahan diberikan kekuatan dan selalu dalam bimbingan dan petunjuk dari Allah swt, aamiin.",2025-04-29T07:59:22Z,0
UgyDKDOo2SuabtXKCY54AaABAg,@ZHC.2024,Ini baru pas.. Adem,2025-04-29T06:28:04Z,0
UgyfZbyV2qoomf-BYCB4AaABAg,@BonarTmbunan,",jangan,ragu,pak,parabowo,bapak,pilihan,Rakiat,jangamudagoyah,",2025-04-29T03:43:35Z,0
UgzOUAKKKaItP2mAYU54AaABAg,@wulakadaabdul6722,"Jangan lupa sejarah pak presiden , selain berbagai kebijakan yang diambil menyangkut swasembada pangan ada satu hal yang menjadi perhatian adalah peranan penyuluh pertanian sebagai ujung tombak dalam pembangunan pertanian. Dimana setelah tahun 1984 kita swasembada beras setelah itu setelah otonom status mereka diserah ke daerah peranan mulai berkurang dan sekarang tidak kedengaran lagi. Untuk itu kami sebagai eks Penyuluh pertanian spesialis memohon agar dalam pemerintahan bapak penyuluh pertanian agar dikembalikan ke pusat. Bilang perlu di daerah lembaganya berdiri sendiri tidak berada pada salah Dinas Teknis. Demikian sedikit masukan dari kami semoga ke depan peranan mereka semakin besar dalam mendampingi para petani kita dalam meningkatkan kebutuhan pangan di negeri ini. Salam santun",2025-04-29T03:08:47Z,0
Ugx6Oit3jAEmZFnq5MB4AaABAg,@edysuherman1658,Menurut saya sudah bagus dialog ini.,2025-04-29T01:04:40Z,0
UgyIm4G8K_xDSu-PAht4AaABAg,@EndangsuryanaSuryana-d9q,"Rahayu,  pundi asih terbuka...kasih sayang seorang pimpinan yang benar tau akan kepentingan rumah tangga Indonesia....dan tujuan kita menuju arah dari patriotis kemerdekaan.....yang diperjuangkan moyang kita tergapai dan tercapai pada sasaran. .indonesia bangun dan berdiri d kaki sendiri.dan mohon karena kita d kata negara miskin mari kita bangkit dari kemiskinan...pokok utama besik manusia adalah baku pokok makan ..sandang papan dalam berkehidupan MerdekaMerdeka Merdeka..Indonenia raya..hidup NKRI...salam santun HormatKami anak Bangs\",2025-04-29T00:50:03Z,0
UgwSTklBHPsi6XIrsXN4AaABAg,@sugengwahono8475,Jaka sembung pegang golok,2025-04-29T00:25:40Z,0
UgzLVAvThN8pd-77YLt4AaABAg,@Namadoxcas,Bpk persiden berdiskusi luar biasa saya nga salah pilih keren ❤❤❤,2025-04-28T23:17:01Z,1
Ugw8efYnqYC8EsZ9PON4AaABAg,@MedianMandiri,Adakah A1 botol halus,2025-04-28T21:41:33Z,0
UgzzAnf5e3kGuoXwu-p4AaABAg,@taufikmoh5308,6 BLN mempersiapkan ternyata kabinetnya berisi orang orang bermasalah dan dilindungi,2025-04-28T20:54:24Z,0
Ugx0VQOIejwiEWssvIJ4AaABAg,@JoniDaswarman,Kpu tidak beres sampai sekarang ijazah jokowi tidak jelas,2025-04-28T18:30:13Z,0
UgwgPVCCXqliY9pjIkF4AaABAg,@JoniDaswarman,Dialok yg tidak membuahkan hasil untuk apa? Cuman omon2doang kayak pinokio.boneka jokowi.,2025-04-28T18:28:41Z,1
Ugx_KQe5V3V8VCLHnvx4AaABAg,@djar6180,bpk prabowo❤❤,2025-04-28T18:04:46Z,0
UgyC7BVtmaanBwYGAaB4AaABAg,@mahdizarmawardi8507,"Prabowo, Prabowo.
Lain yg dotanya, lain yg dijawab",2025-04-28T17:10:39Z,0
UgxWCLxoNA2UelX5vYF4AaABAg,@teukuadami1803,Mantap pak prabowo cukup baik fufu fafa di minggir aja.,2025-04-28T17:06:28Z,0
UgzX3cSV_Ygbn77Rlr94AaABAg,@BagioKamid,Tenang pak rayat medukung pak prabo kiban pak,2025-04-28T15:45:44Z,0
UgxnQR4WFsQaQkgDWsR4AaABAg,@SofiaFirdaus26,Udah yappingnya?,2025-04-28T12:48:27Z,0
UgxCDVAIHyX-EMcN6L14AaABAg,@Fantoryall,"cuma mau bilang..


















oke gas oke gasss😂😂😂😂",2025-04-28T11:32:40Z,2
UgxRuSUaRsNdPRmU06B4AaABAg,@HarsonoBjn,"Ganti wapres,  brantas koroptor hukum berat dan di miskinkan para koroptor,sejahterakan rakyat, kami rakyat keci di bojonegoro siap dukung pak prabowo 2 (dwa)priode.",2025-04-28T08:31:09Z,1
UgzS02pip2hK-veMvXJ4AaABAg,@user-ic4fc1io1f,saya bangga dengan pak Prabowo,2025-04-28T07:15:48Z,0
UgysU0XFQ_4SgSA7kfV4AaABAg,@user-ic4fc1io1f,keren pak,2025-04-28T07:15:25Z,0
UgyBB_Ynds8KKe4dYNl4AaABAg,@endangpurwaningsih6172,"Banyak bendungan ,pengairan, jalan  untuk mobilitas hasil bumi, kebutuhan masyarakat dg mobilitasnya telah dirintis oleh pak Jokowi..semoga pak Prabowo bisa menggunakan sesuai visi nya terutama peningkatan pangan dan ekonomi.",2025-04-28T05:48:08Z,0
UgxWjJ2cQdFc7o3gMGx4AaABAg,@endangpurwaningsih6172,"Membangun SDM dan infrastruktur sama pentingnya, tanpa infrastruktur yang mendukung pengembangan pangan tdk akan ada hasil yg maksimal",2025-04-28T05:42:09Z,0
Ugz36-C9jMjJ9bIaSe54AaABAg,@dimazismechannel6182,"Kok ada orang yg masih gak paham? Ya gitu kalo udah benci ya apa aja yg dibilang juga pasti salah. Pak Prabowo pikirannya udah Internasional. Membawa dan membandingkan Indonesia dengan negara lain dengan program2 yg sudah sukses. Relasi nya Presiden2 negara lain. Riset dan Eksekusi. Cuma salahnya pak Prabowo setiap dia bekerja dia enggak bawa Kamera aja. Pak Prabowo mau membawa Negara ini ke next level, bukan nasional aja. Pondasi yg mau dia bangun dan tinggalkan. Tapi ya susah kalo SDM yg mau diajak next level masih di skala ini. Contohnya dapat dilihat dari komen-komen disini.",2025-04-28T05:09:06Z,0
UgxAXiHhDHCqdwq9hJZ4AaABAg,@AfrArya-jc8wo,Anjayy Jumbo the movie udah tayang di yutub secara gratis,2025-04-28T04:56:08Z,0
UgyJaayNorZEj9kt9F94AaABAg,@maddenHutagaul-ef2rf,"Pa Presiden buat singkat, padat, jelas, transfaransi n yg paling penting bgmna masyarakat NKRI ini bs hidup dgn baik, apa saja yg perlu dipersiapkan tp bkn makanan bergizi gratis bg kami masy hal itu tdk perlu.",2025-04-28T04:29:23Z,0
UgyppxIML4-99hLDzSd4AaABAg,@mlikhin2302,"Banyak disini yg berilmu tinggi,,tp hanya berkomentar busuk dan merasa paling benar ..
Sedangkan dikehidupan nyata nol besar..",2025-04-28T04:11:23Z,0
UgzyV3UpnCdMVSulGE14AaABAg,@Firman-g6y,Assalamualaikum warahmatullahi barakatuh tolong air untuk petani di desa desa yang lahan kering di perhatikan soalnya sehebat hebatnja Tampa ada air sulit kita berhasil kalau saya di tlpn saya akan berbicara tentang pertanian untuk kemakmuran rakyat kecil,2025-04-28T03:47:47Z,0
Ugwxzd0YrgeT69cYm2N4AaABAg,@Firman-g6y,Assalamualaikum warahmatullahi barakatuh pak presiden Prabowo tolong perhatikan anak anak kita sudah bertahun tahun magang tolong di perhatikan,2025-04-28T03:20:28Z,0
UgzEsKELKHjez_91mH54AaABAg,@jailanimakasihdoanyasemuan2337,Gula awal pahit ahirnya apa kmu rasa rakyat ku,2025-04-28T03:10:26Z,0
UgyPNdSZXkWuQ-Cu2hl4AaABAg,@jailanimakasihdoanyasemuan2337,Intelijen bowo apa kmu lanjut kan joko widodo yg sdh gagal tdk repot repot  lagi jgn sampai 3x,2025-04-28T03:09:02Z,0
UgxX_GsnRkfg0i-y3W94AaABAg,@muhammadfaza2654,HALO PRABOWO SAYA BUTUH MAKANSIANG GRATIS,2025-04-28T02:40:49Z,0
